,Date,3 mo
2993,2001-12-18,1.71
2994,2001-12-19,1.69
2995,2001-12-20,1.69
2996,2001-12-21,1.71
2997,2001-12-24,1.72
2998,2001-12-26,1.75
2999,2001-12-27,1.74
3000,2001-12-28,1.72
3001,2001-12-31,1.74
3002,2002-01-02,1.74
3003,2002-01-03,1.73
3004,2002-01-04,1.72
3005,2002-01-07,1.68
3006,2002-01-08,1.68
3007,2002-01-09,1.68
3008,2002-01-10,1.68
3009,2002-01-11,1.58
3010,2002-01-14,1.58
3011,2002-01-15,1.60
3012,2002-01-16,1.61
3013,2002-01-17,1.64
3014,2002-01-18,1.62
3015,2002-01-22,1.70
3016,2002-01-23,1.71
3017,2002-01-24,1.72
3018,2002-01-25,1.72
3019,2002-01-28,1.76
3020,2002-01-29,1.72
3021,2002-01-30,1.75
3022,2002-01-31,1.76
3023,2002-02-01,1.76
3024,2002-02-04,1.77
3025,2002-02-05,1.76
3026,2002-02-06,1.74
3027,2002-02-07,1.73
3028,2002-02-08,1.73
3029,2002-02-11,1.75
3030,2002-02-12,1.75
3031,2002-02-13,1.76
3032,2002-02-14,1.75
3033,2002-02-15,1.74
3034,2002-02-19,1.76
3035,2002-02-20,1.76
3036,2002-02-21,1.76
3037,2002-02-22,1.76
3038,2002-02-25,1.77
3039,2002-02-26,1.77
3040,2002-02-27,1.77
3041,2002-02-28,1.79
3042,2002-03-01,1.77
3043,2002-03-04,1.81
3044,2002-03-05,1.80
3045,2002-03-06,1.78
3046,2002-03-07,1.78
3047,2002-03-08,1.81
3048,2002-03-11,1.86
3049,2002-03-12,1.84
3050,2002-03-13,1.82
3051,2002-03-14,1.86
3052,2002-03-15,1.86
3053,2002-03-18,1.88
3054,2002-03-19,1.85
3055,2002-03-20,1.84
3056,2002-03-21,1.84
3057,2002-03-22,1.84
3058,2002-03-25,1.85
3059,2002-03-26,1.81
3060,2002-03-27,1.81
3061,2002-03-28,1.79
3062,2002-04-01,1.79
3063,2002-04-02,1.80
3064,2002-04-03,1.79
3065,2002-04-04,1.78
3066,2002-04-05,1.76
3067,2002-04-08,1.75
3068,2002-04-09,1.73
3069,2002-04-10,1.71
3070,2002-04-11,1.72
3071,2002-04-12,1.71
3072,2002-04-15,1.72
3073,2002-04-16,1.74
3074,2002-04-17,1.73
3075,2002-04-18,1.72
3076,2002-04-19,1.73
3077,2002-04-22,1.72
3078,2002-04-23,1.73
3079,2002-04-24,1.72
3080,2002-04-25,1.74
3081,2002-04-26,1.75
3082,2002-04-29,1.78
3083,2002-04-30,1.77
3084,2002-05-01,1.77
3085,2002-05-02,1.77
3086,2002-05-03,1.76
3087,2002-05-06,1.78
3088,2002-05-07,1.76
3089,2002-05-08,1.76
